电影 | 你该不会是偷了电影
精力 | 还有精力才做
演讲 | 演讲都快开始了
站住 | 你给我站住
即便 | 即便如此
倒霉 | 最倒霉的男人了
打破 | 这一天被打破了
跟着 | 你跟着我干什么？
冲动 | 阿寺从小就个性冲动
无数 | 我听过无数次了
懂得 | 很懂得利用心理战
形容 | 有人形容他如同有一双透视眼
孤单 | 觉得很孤单
惊人 | 他记忆力惊人
所作所为 | 你今天的所作所为
代替 | 有个女孩代替他
丢脸 | 替你感到丢脸
旅程 | 我人生的新旅程
如同 | 有人形容他如同有一双透视眼
赌注 | 赌注我来定
丫头 | 你这小丫头
鳄鱼 | 穿着绿鳄鱼皮的菠萝头
人物 | 学校的风云人物
不关 | -关我什么事啊？-怎么不关你的事？
首 | 至于F4为首的道明寺
单 | 你站过去我帮你拍一张单人的
记录 | 请不要记录
痛苦 | 你们可能会感到痛苦
挑战 | 想要挑战他们
组织 | 你加入他们的组织
属于 | 那个男孩子怎么可能会属于你啊？
派 | 谁派你来的？
看 | 我们过两天去看你。
需要 | 这件事儿很麻烦，我们需要你的帮助。
倍 | 一百倍、一千倍、一万倍
适合 | 挺适合你的
过来 | 你给我过来一下
就要 | 我就要笑
属于 | 那个男孩子怎么可能会属于你啊？
家伙 | 自以为是的家伙
拜托 | 所以能不能拜托你
极了 | 我开心极了
方式 | 用不公平的方式来对待自己
位置 | 这个位置来看
随时 | 你可以随时来找我
立刻 | 立刻就能见到我
假装 | 假装它是一个苹果
迷 | 那个董杉菜已经迷上我了
喜 | 我喜不喜欢他
营养 | 明德学院营养系
长大 | 我们长大了
查 | 我查一下
巴黎 | 上海比巴黎快了七个小时
好笑 | 不好笑是不是？
恋爱 | 恋爱的表情
发型 | 我随便换了个发型
变 | 这里一点都没变
好久 | 好久没见她了
不用 | 你就不用担心了
清醒 | 你清醒一点好不好？
无关 | F4的一切都跟我无关
记 | 你记不记得之前有一次
躲 | 我们躲进女卫生间
潜力 | 我很有潜力
冲 | 有意见你就冲我来
准 | 我不准你对他下手
闹 | 你别再闹了
该 | 你该不会是偷了电影
女人 | 你不会真的喜欢这个疯女人吧？
杯 | 两杯饮料
嗯 | 嗯你加油
确定 | 你确定吗？
疯 | 这个疯女人
只是 | 他只是想整我而已
上次 | 上次的事情谢谢你啊
那些 | 我觉得那些照片拍得还不错
回家 | 我要回家
嗨 | 嗨可爱的奶茶妹
法国 | 从法国回来了
见到 | 立刻就能见到我
现场 | 在木乃伊挖掘现场做的特别报道
好看 | 她的脸型要显脸好看很难好不好？
参加 | 欢迎你们都来参加
离开 | 你已经离开我家了
道歉 | 今天我是专门来道歉的
激动 | 还是第一次见他这么激动呢
烧 | 我还发着烧呢
出来 | 你给我出来
撞 | 牙都快给你撞掉了
个性 | 阿寺从小就个性冲动
冲动 | 阿寺从小就个性冲动
湿 | 你的衣服和鞋子都湿了
欺负 | 一个老太太被欺负
好玩 | 我跟你说那里真的特别好玩
按 | 你得按医生的规定吃药
客气 | 你还带这么多东西太客气了
晚饭 | 我们要准备吃晚饭了
吐 | 不想吃的话你可以吐掉哦
撒谎 | 我道明寺从来不撒谎
超级 | 超级棒
明明 | 我爸明明教过我了
派对 | 我们晚上要开个派对
阿 | 阿寺。阿七。
直播 | 你在腾讯上直播吗？
痛 | 我肚子痛等一下
吻 | 不会是你的初吻吧？
或是 | 无论疾病或是健康
承认 | 我就承认你比我强
端 | 这低端的人
亲密 | 你羡慕我跟杉菜这么亲密吧？
期待 | 我还在期待什么呢？
傻子 | 你当我傻子啊？
救 | 你在餐厅救她的时候
惨 | 结果他输得特别惨
那里 | 听说那里又大又漂亮
周 | 下周我生日邀请了很多朋友
变态 | 我不是坏人、不是变态
泽 | 花泽类喜欢静学姐啊
而已 | 也就能看而已
没什么 | 没什么打算啊
留下来 | 今天就留下来一起吃吧？
地 | 开心地说着
任何人 | 我不会为了任何人改变我的决定
不能 | 所以能不能拜托你
女士 | 女士们、先生们
能够 | 我以为我能够
听到 | 在听到静学姐说要去法国以后
时 | 注意聊天时的内容
家里 | 你昨天家里发生什么事啊？
小子 | 类这小子平时看起来闷闷的
身上 | 谁会在她身上浪费时间啊？
幸好 | 幸好后来有静的出现
多亏 | 都是多亏了静
身份 | 他的身份
人民 | 帮助贫困国家和人民
胡说 | 你在胡说些什么？
答应 | 我不能答应你
提出 | 无论您提出任何的要求我都会尽力地满足你
满足 | 我都会尽力地满足你
非 | 你如果非要找我讲的话
讲话 | 谁让你偷听我讲话
那种 | 我怎么会跟那种女生在一起啊？
恶心 | 好恶心
会儿 | 你就坐着歇会儿
点心 | 好多法国点心
剪 | 剪掉了头发
酒 | 还一直开心地说着酒话
爱上 | 爱上别人
自私 | 自私鬼
争取 | 去争取自己的梦想
说服 | 能够说服她
想法 | 我也没想法啊
神经 | 神经大条的家伙
遗憾 | 遗憾一辈子
脑子 | 你的脑子里
追 | 我怎么追喜欢的女生
这次 | 这次我会努力去争取
记住 | 首先记住
尽力 | 我都会尽力地满足你
揍 | 你揍他一顿
伤害 | 我以后不会再伤害你了
嘿 | 嘿起来了
睡 | 我可是昨晚一夜没睡
里面 | 我同学已经在里面了
病 | 你是不是有病啊？
鞋 | 你干吗穿我的鞋啊？
兄弟 | 他们是真把我当兄弟了
越来越 | 真是越来越过分了
烤 | 吃烤墨鱼。吃烤鸭。
墨鱼 | 嘿吃烤墨鱼了
碰到 | 你碰到就假装没看见就好了
不好 | 好不好？
伦敦 | 我上个月刚刚从伦敦回来
青 | 陈青和
三亚 | 去三亚度假的时候
道明 | 道明寺
李真 | 李真在那儿
静学姐 | 静学姐好漂亮
学长 | 道明寺学长
邀请函 | 没有邀请函一概不准进入
求 | 我求求你
美女 | 还有这么多性感的比基尼美女
帅哥 | 好多帅哥美女啊
行为 | 这种行为可能造成意外
别提 | 别提有多骄傲了
装 | 别装了
惹 | 我又怎么惹你了？
来说 | 这对你来说真的这么重要吗？
忘 | 我完全都忘了
是不是 | 你听，是不是电话响了？
经历 | 类到底在巴黎经历了什么？
笨蛋 | 你才是笨蛋呢
哪个 | 那你是哪个意思？
男人 | 谁准你看别的男人？
度假 | 谁跟你说我要跟你去度假了？
有点 | 你是不是有点失望啊？
跑 | 你到底跑哪里去啦？
得到 | 怎么就不能得到幸福呢
床 | 睡不一样的床
多久 | 会持续多久
废话 | 你们两个少废话
一模一样 | 照片一模一样
加 | 又是加我微信的
夸张 | 太夸张了
黑锅 | 背了黑锅
小组 | 小组研究报告
困扰 | 我带来了很大的困扰
认识 | 认识你们很高兴
只好 | 只好送你去宾馆了
定 | 他们定规则
昨晚 | 昨晚你们什么时候回去的
那样 | 事情根本就不是你们想的那样
口袋 | 在你的口袋里
上课 | 我以为他去上课
选 | 要是选错的话就输了
规则 | 那规则你们定
等等 | 你等等我
如何 | 感觉如何？
总 | 你不能总穿旧的
夜 | 我可是昨晚一夜没睡
约 | 跟我约会去买新衣服
醉 | 你昨天喝醉了
串 | 烤串店
权利 | 你有什么权利不来啊？
意外 | 担心你出什么意外
同志 | 警察同志
去世 | 他们很容易去世
补偿 | 我可没有说是这种补偿啊
到处 | 你吐得到处都是
怀疑 | 我怀疑他已经回国了
拒绝 | 我竟然没有拒绝他吻我
可惜 | 真可惜
失望 | 我对你真的很失望
第二 | 第二次约会在什么时候
那儿 | 往那儿走
她们 | 你跟她们解释清楚啊
无法 | 您拨打的电话暂时无法接通
出去 | 你别进来我出去找你
网上 | 干吗发那种照片在网上？
怪 | 你还怪我啊？
公平 | 很不公平的事
拨 | 您拨打的电话…
不在乎 | 我都不在乎
瞎说 | 你们不要瞎说
问路 | 他是来问路的
汤玛斯 | 叫我汤玛斯
老外 | 那个老外明明就是假装问路
蛮 | 这套衣服蛮好看的嘛
养 | 谁要你养胖了
警告 | 我警告你
清理 | 我帮你清理
肩膀 | 你靠在我的肩膀上
夸张 | 太夸张了
陷害 | 你为什么要这样陷害我？
说谎 | 你为什么要说谎
咬 | 敢咬我？
感激 | 你不感激我
吃醋 | 我就是吃醋了
愤怒 | 所有的愤怒都涌上来
单词 | 对我来说，这是新的单词。
口罩 | 为什么我要戴口罩？
处理 | 我自己回去处理一下就好了
男孩 | 你是优质男孩
聊 | 你想跟我聊什么？
坏人 | 他绝对不是一个坏人
尴尬 | 气氛这么尴尬
白痴 | 他其实是一个感情白痴
气氛 | 气氛很尴尬
也就是说 | 也就是说
流血 | 你伤口还在流血呢
巧 | 这么巧？
巧合 | 这完全是个巧合
小孩 | 猫和狗是没办法生小孩的
除非 | 没有什么好谈的除非你答应
负 | 你怎么可以这样不负责任？
单词 | 对我来说，这是新的单词。
点儿 | 请吃点儿米饭
下面 | 小狗在椅子下面呢
笔 | 他没法付这笔钱
经验 | 她都没什么经验
黑暗 | 不要把我一个人留在黑暗里
快要 | 感觉你们快要结婚了
看 | 我们过两天去看你。
处理 | 我自己回去处理一下就好了
处理 | 我自己回去处理一下就好了
桌子 | 老师看见我在桌子上写东西。
昨天 | 你昨天买的鞋子在哪里？
喝茶 | 爸爸喜欢喝茶
昨天 | 你昨天买的鞋子在哪里？
需要 | 这件事儿很麻烦，我们需要你的帮助。
报名 | 你想报名参加运动会吗？
不仅 | 我不仅去过那个城市，而且去过很多次。
诚实 | 诚实的人值得我们尊重。
出发 | 我们现在出发吧，否则会迟到的。
困 | 我困了，要去睡觉。
是不是 | 你听，是不是电话响了？
昨天 | 你昨天买的鞋子在哪里？
倒霉 | 最倒霉的男人了
现场 | 在木乃伊挖掘现场做的特别报道
耶 | 真的会飞耶这边！
根 | 保证斩草除根！
美女 | 还有这么多性感的比基尼美女
活 | 这鱼还活着！还是拿去清蒸吧
哇 | 哇有条鱼溺水了！
部 | 你们海防部的设备会不会有点太落后了呀？
杰克 | 水中贵族杰克船长
傻 | 但我们就只能在这里傻傻地卖椰子
完美 | 这么生猛的鱼当然要用清蒸才能完美地展现鱼的鲜味啊
亲戚 | 你这种没过去、没亲戚朋友
组织 | 你加入他们的组织
然而 | 然而她的梦我给不了
派 | 谁派你来的？
小孩 | 猫和狗是没办法生小孩的
是否 | 我不知道他是否还想去旅行？
见 | 奶奶不但喜欢见孙女们，而且喜欢见孙子。
带来 | 科学技术的发展确实给生活带来了许多方便
需要 | 这件事儿很麻烦，我们需要你的帮助。
这里 | 这里的环境很不错，在这里住很舒服。
另 | 在另一个屏幕上
于 | 因为它们属于不同的物种
第 | 这是你们的第一堂课吧
员 | 电脑程序员
儿 | 我有点儿紧张
进入 | 进入冬季，温度越来越低
父母 | 你是从父母学中文的吗
留下 | 会给他留下一个好的印象
片 | 中国的动画片给他们看
太太 | 陈太太你真的很厉害
想象 | 首先你要在脑海里想象你要变成的样子
命 | 我们就是命里注定相遇
从没 | 从没想过这样的画面
面 | 和他们面对面直接表明要挑战
很快 | 很快我们恋爱了
一切 | 祝你们这次访问一切顺利
行为 | 这种行为可能造成意外
现在 | 我现在过得就好
收集 | 在这个世界有些人喜欢收集玩具
内裤 | 我有点变态喜欢收集内裤
卡 | 甚至有些人为了收集水浒传108张人物卡
边 | 欢迎光临！美女这边坐
砸 | 砸到我的宝贝了！
鸡 | 小飞鸡马上出发！
光临 | 欢迎光临！美女这边坐
石头 | 怎么会有块石头在这里啊？
电影 | 你该不会是偷了电影
是 | 不会是你的
偷 | 你该不会是偷了电影
第三 | 奥克兰第三方你要去哪儿？
该 | 你该不会是偷了电影
看 | 我们过两天去看你。
开车 | 今天早上我开车送女儿上学了
同 | 想要同一个玩具。
时候 | 什么时候决定要做自由职业者？

